Country,EdLevel,YearsExperience,DevType,AnualSalary
Canada,Master’s degree,4.0,Data scientist or machine learning specialist,80000.0
Canada,Master’s degree,5.0,Data scientist or machine learning specialist,64287.0
Canada,Bachelor’s degree,1.0,Data scientist or machine learning specialist,37800.0
Canada,Master’s degree,0.5,Data scientist or machine learning specialist,52942.0
Canada,Postgraduate,4.0,Data scientist or machine learning specialist,31765.0
Canada,Bachelor’s degree,3.0,Data scientist or machine learning specialist,56723.0
Canada,Master’s degree,30.0,Data scientist or machine learning specialist,114960.0
Canada,Postgraduate,3.0,Data scientist or machine learning specialist,114203.0
Canada,Bachelor’s degree,2.0,Data scientist or machine learning specialist,55211.0
Canada,Postgraduate,0.5,Data scientist or machine learning specialist,64287.0
Canada,Master’s degree,9.0,Data scientist or machine learning specialist,121010.0
Canada,Postgraduate,7.0,Data scientist or machine learning specialist,90758.0
Canada,Less than a Bachelor’s,0.5,Data scientist or machine learning specialist,52942.0
Canada,Bachelor’s degree,0.5,Data scientist or machine learning specialist,36303.0
Canada,Master’s degree,2.0,Data scientist or machine learning specialist,36300.0
Canada,Master’s degree,4.0,Data scientist or machine learning specialist,114203.0
Canada,Master’s degree,0.5,Data scientist or machine learning specialist,50673.0
Canada,Master’s degree,4.0,Data scientist or machine learning specialist,90758.0
Canada,Bachelor’s degree,5.0,Data scientist or machine learning specialist,96808.0
Canada,Master’s degree,12.0,Data scientist or machine learning specialist,56723.0
Canada,Master’s degree,22.0,Data scientist or machine learning specialist,95295.0
Canada,Master’s degree,5.0,Data scientist or machine learning specialist,94539.0
Canada,Master’s degree,3.0,Data scientist or machine learning specialist,54456.0
Canada,Postgraduate,8.0,Data scientist or machine learning specialist,65340.0
Canada,Master’s degree,10.0,Data scientist or machine learning specialist,83194.0
Canada,Master’s degree,3.0,Data scientist or machine learning specialist,105884.0
Canada,Postgraduate,15.0,Data scientist or machine learning specialist,81682.0
Canada,Master’s degree,4.0,Data scientist or machine learning specialist,72612.0
Canada,Postgraduate,4.0,Data scientist or machine learning specialist,86976.0
Canada,Bachelor’s degree,21.0,Data scientist or machine learning specialist,117229.0
Canada,Master’s degree,4.0,Data scientist or machine learning specialist,132355.0
Canada,Bachelor’s degree,2.0,Data scientist or machine learning specialist,45379.0
Canada,Master’s degree,9.0,Data scientist or machine learning specialist,75631.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,48644.0
France,Postgraduate,8.0,Data scientist or machine learning specialist,43239.0
France,Master’s degree,1.0,Data scientist or machine learning specialist,45401.0
France,Master’s degree,3.0,Data scientist or machine learning specialist,50806.0
